"Korean","Japanese","English","Chinese","German","French","Russian"
"세 가지의 심볼이 랜덤하게 나오며 \n한 가지를 선택할 수 있습니다.","3つのシンボルがランダムに出て、\ nの1つを選択できます。","Three symbols appear randomly, and you can select one.","随机出现三个符号，您可以选择其中一个。","Drei Symbole erscheinen zufällig, und Sie können eines auswählen.","Trois symboles apparaissent aléatoirement, et vous pouvez en sélectionner un.","Случайным образом появляются три символа, и вы можете выбрать один из них."
"마음에 들지 않는다면 포기하는 선택지도 있습니다.","気に入らなければあきらめる選択肢もあります。","If you don't like it, you also have the option to give up.","如果你不喜欢，你也可以选择放弃。","Wenn es Ihnen nicht gefällt, haben Sie auch die Möglichkeit, aufzugeben.","Si cela ne vous convient pas, vous avez également la possibilité d'abandonner.","Если вам это не нравится, вы также можете отказаться."
"여기를 눌러 멈춰 보세요.","ここをタップして停止します。","Click here to stop.","点击这里停止。","Hier klicken, um zu stoppen.","Cliquez ici pour arrêter.","Нажмите здесь, чтобы остановить."
"현재는 당신의 턴입니다.","現在はあなたのターンです。","It is your turn now.","现在轮到你了。","Jetzt sind Sie an der Reihe.","C'est à votre tour maintenant.","Теперь ваша очередь."
"여기 레버를 눌러 룰렛을 멈춰보세요.","ここでレバーを押してルーレットを止めます。","Press the lever here to stop the roulette.","按下这里的控制杆即可停止轮盘赌。","Drücken Sie hier den Hebel, um das Roulette anzuhalten.","Appuyez ici sur le levier pour arrêter la roulette.","Нажмите на рычаг здесь, чтобы остановить рулетку."
"여긴 전투를 치를 전투 화면 입니다. ","ここは戦闘を打つ戦闘画面です。 ","This is the battle screen where you will fight.","这是战斗画面，你将在这里进行战斗。","Dies ist der Kampfbildschirm, auf dem du kämpfen wirst.","Voici l'écran de combat où vous vous battrez.","Это экран боя, где вы будете сражаться."
"먼저 UI에 대한 설명을 하겠습니다.","まず、UIの説明をします。","First, I will explain the UI.","首先，我将解释一下用户界面。","Zuerst werde ich die Benutzeroberfläche erklären.","Je vais d'abord vous expliquer l'interface utilisateur.","Сначала я объясню пользовательский интерфейс."
"여긴 현재 소유하고 있는 심볼이 표시되는 공간입니다.","これは現在所有しているシンボルが表示されるスペースです。","This is the space where the symbols you currently own are displayed.","这里会显示您当前拥有的股票代码。","Hier werden die Symbole angezeigt, die Sie aktuell besitzen.","C'est ici que sont affichés les symboles que vous possédez actuellement.","Здесь отображаются символы, которыми вы владеете."
"자세한 정보는 '마우스 오른쪽 버튼'을 눌러 확인할 수 있습니다.","詳細は「右マウスボタン」を押して確認できます。","You can check detailed information by right-clicking.","您可以右键点击查看详细信息。","Detaillierte Informationen erhalten Sie per Rechtsklick.","Vous pouvez consulter des informations détaillées en cliquant avec le bouton droit.","Подробную информацию можно просмотреть, щелкнув правой кнопкой мыши."
"여긴 현재 남은 체력이 표시됩니다. ","ここに現在残っている体力が表示されます。 ","Your current remaining stamina is displayed here.","您当前的剩余体力值显示在此处。","Ihre verbleibende Ausdauer wird hier angezeigt.","Votre endurance restante est affichée ici.","Здесь отображается ваш текущий оставшийся запас выносливости."
"0이 되면 패배하니 주의하도록 합시다","0になると敗北するので注意しましょう","Let's be careful, as you lose if it reaches 0.","小心点，如果达到 0 你就输了。","Seien wir vorsichtig, denn Sie verlieren, wenn der Wert 0 erreicht.","Soyons prudents, car vous perdez si le score atteint 0.","Будьте осторожны, ведь вы проиграете, если значение достигнет нуля."
"여기는 현재 소지한 돈이 표시됩니다. ","ここには現在所持しているお金が表示されます。 ","Your current amount of money is displayed here.","您当前的余额显示在这里。","Ihr aktueller Geldbetrag wird hier angezeigt.","Le montant actuel de votre argent est affiché ici.","Здесь отображается ваша текущая сумма денег."
"여러 곳에 사용되니 열심히 모아둡시다.","いろんなところに使われるので頑張っておきましょう。","It is used in many places, so let's collect it diligently.","它用途广泛，所以我们要认真收集它。","Es wird an vielen Orten verwendet, also lasst es uns fleißig sammeln.","Il est utilisé dans de nombreux endroits, alors collectons-le avec soin.","Оно используется во многих местах, поэтому давайте будем тщательно его собирать."
"여기를 누르면 룰렛이 멈추기 시작합니다.","ここを押すとルーレットが停止し始めます。","Press here to start the roulette.","点击此处开始轮盘赌。","Drücken Sie hier, um das Roulette zu starten.","Appuyez ici pour démarrer la roulette.","Нажмите здесь, чтобы запустить рулетку."
"한 번 룰렛을 멈춰봅시다.","一度ルーレットを止めましょう。","Let's stop the roulette wheel once.","我们先让轮盘停一下。","Lasst uns das Rouletterad einmal anhalten.","Arrêtons la roulette une fois pour toutes.","Давайте остановим рулетку разок."
"여기는 룰렛입니다.","ここはルーレットです。","This is Roulette.","这是轮盘赌。","Das ist Roulette.","C'est la roulette.","Это рулетка."
"룰렛에는 여러 ","ルーレットには複数 ","There are several types of roulette.","轮盘赌有好几种类型。","Es gibt verschiedene Arten von Roulette.","Il existe plusieurs types de roulette.","Существует несколько видов рулетки."
"여기는 현재의 스탯이 나오는 칸입니다.","ここは現在のステータスが出てくるカーンです。","This is the section where current stats are displayed.","本部分显示当前统计数据。","In diesem Abschnitt werden die aktuellen Statistiken angezeigt.","C'est dans cette section que les statistiques actuelles sont affichées.","В этом разделе отображается текущая статистика."
"여기는 현재의 스탯이 나오는 칸입니다.","ここは現在のステータスが出てくるカーンです。","This is the section where current stats are displayed.","本部分显示当前统计数据。","In diesem Abschnitt werden die aktuellen Statistiken angezeigt.","C'est dans cette section que les statistiques actuelles sont affichées.","В этом разделе отображается текущая статистика."
